# Moller et al. 2022 
# SNe Ia selected with SuperNNova using host-galaxy redshifts 
# This is NOT the cosmology sample nor the SALT values used for cosmology 
# No HQ nor JLA cuts 
# Columns are: SNID=id zHD=redshift IAUC=naming SuperNNova probabilities= all_class0_S_0, average_probability_set_0 
#              SALT2 fit= c,x1,zHDERR,cERR,x1ERR 
SNID,IAUC,SNTYPE,zHD,c,x1,zHDERR,cERR,x1ERR,HOSTGAL_MAG_r,all_class0_S_0,average_probability_set_0
1371022,DES16E1de       ,101,0.2908,0.00805026,1.05657,0.001,0.0269560999999999,0.16893,23.09,1.0,1.0
1371040,DES16E1dg       ,0,0.8003,-0.0261714999999999,2.86701,0.001,0.0844128999999999,1.3041200000000002,23.69,0.99667597,0.9977212
1371046,DES16E2dd       ,1,0.0733,0.2375699999999999,-0.54566,0.001,0.0290797,0.0679287,19.15,0.9999906,0.9999976
1371048,DES16E2di       ,0,0.3439,0.0803567999999999,-1.75892,0.001,0.0455067,0.52962,20.45,0.99999547,0.9996684
1371126,DES16C3ea       ,1,0.216,-0.103273,-1.47484,0.001,0.0385698,0.28717,20.79,0.99999833,0.9999944
1371206,DES16C3ds       ,0,0.5278,0.0550015,-2.96834,0.001,0.0644776,0.61145,22.76,0.9984452,0.9968885
1372045,DES16E1qo       ,0,0.3769,0.0730553,-1.12354,0.001,0.0325781,0.34273,21.87,0.99996924,0.96745855
1372115,DES16C3ei       ,0,0.8984,-0.0433689,0.30563,0.001,0.0652055,0.60151,23.83,0.9999747,0.9999938
1372117,DES16C3qn       ,0,1.1342,-0.164328,1.29171,0.001,0.0712822,1.47345,24.21,0.31899008,0.7791737
1373028,DES16X2up       ,0,0.2552,-0.0722285,-1.4734,0.001,0.0345531,0.37265,19.74,0.99999964,0.9999984
1373040,DES16X3ko       ,0,0.2617,0.047307,0.0535627,0.001,0.0375398,0.29269,19.88,1.0,0.9999925
1373042,DES16X3kv       ,0,0.2372,-0.0331109,-2.07532,0.001,0.0361251999999999,0.33698,20.26,0.99999964,0.9999897
1373123,DES16X1qs       ,0,0.6988,0.0899851,-0.783697,0.001,0.0292647999999999,0.90065,23.32,0.9998865,0.99991226
1374041,DES16S1lh       ,0,0.6852,-0.0859026,-0.803847,0.001,0.0743448,1.10099,22.21,0.99951303,0.9993491
1375087,DES16C3qv       ,0,0.6295,-0.0587670999999999,-0.2397949999999999,0.001,0.0364877,0.4407899999999999,22.91,0.99999976,0.9999999
1376168,DES16E2rd       ,1,0.4924,0.000483882,-0.806623,0.001,0.0416767,0.45035,20.99,0.9999999,1.0
1376225,DES16C3rx       ,0,0.7251,-0.188386,-1.30614,0.001,0.0600109,0.53576,23.06,0.9994199,0.9998269
1377118,DES16E2sw       ,0,0.8038,-0.0988947999999999,0.14626,0.001,0.0994848,1.05691,23.25,0.9992669,0.9991306
1380115,DES16E2yu       ,0,0.8488,-0.0588196,2.36676,0.001,0.0773098999999999,1.0055,23.35,0.9998437,0.99920785
1380167,DES16C3vb       ,0,0.7533,-0.1058839999999999,0.2327699999999999,0.001,0.0470796999999999,0.36817,23.38,0.99999845,0.99999607
1380207,DES16X2va       ,0,0.7415,-0.18704,1.20219,0.001,0.10803,1.36205,22.48,0.9874549,0.96442014
1382058,DES16X2aed      ,0,0.572,-0.0042689,-0.587453,0.001,0.0632267,0.98011,22.3,0.9953296,0.9935964
1385052,DES16X3afx      ,0,0.8011,-0.195802,-0.630058,0.001,0.0722514,0.77118,23.92,0.9999093,0.8027004
1385088,DES16E2zk       ,101,0.7987,-0.178065,-0.152187,0.005,0.0689029999999999,0.63779,26.53,0.99998176,0.99999446
1385187,DES16S1afw      ,0,0.5221,0.10558,1.79598,0.001,0.04832,0.5818800000000001,23.33,0.9999962,0.9966038
1386047,DES16X3zd       ,1,0.4938,0.051684,-0.807736,0.001,0.0309064,0.32823,22.25,0.9999994,0.99999714
1387101,DES16S2afz      ,1,0.4807,-0.0113783999999999,0.8413200000000001,0.001,0.0329546,0.40406,23.84,0.9999999,0.9999992
1387144,DES16C1zv       ,1,0.4895,-0.0392916,0.41985,0.005,0.0286442,0.30566,23.88,1.0,1.0
1387162,DES16C1ajb      ,0,0.6175,0.1185599999999999,0.17732,0.001,0.0724618,0.94905,22.97,0.9983669,0.9978374
1387169,DES16C1aiw      ,1,0.4695,-0.0960986,0.37873,0.005,0.0274833,0.29025,25.74,1.0,1.0
1387174,DES16C2aiu      ,1,0.6984,-0.0667912,0.41076,0.005,0.0410471,0.5595399999999999,24.99,0.9994708,0.9993614
1389074,DES16S1agd      ,1,0.5028,0.00250401,0.7548699999999999,0.001,0.0410439,0.51437,22.36,0.99999964,0.9999992
1389177,DES16C2ajc      ,0,0.4489,-0.0309824,0.0904544,0.001,0.0396914,0.55635,21.21,0.99999976,0.9999987
1389192,DES16C2aiy      ,1,0.1817,0.0491256999999999,0.42168,0.001,0.0754628,0.50697,20.04,1.0,1.0
1389210,DES16C2aji      ,0,0.5487,0.0899221,0.6543399999999999,0.001,0.0179819,0.5286,21.75,0.98586106,0.9843256
1390173,DES16C1ajm      ,0,0.6588,0.0849053,1.11529,0.001,0.0591741999999999,0.8618299999999999,22.35,0.99999213,0.99996537
1390343,DES16X3ags      ,0,0.8912,-0.152618,0.41311,0.001,0.055386,0.5222600000000001,22.95,0.99999857,0.9999995
1390345,DES16X3azt      ,0,0.8359,0.16712,1.20359,0.001,0.11035,1.27434,22.95,0.9963457,0.9986882
1390393,DES16C1aou      ,0,0.5323,0.10403,-2.76435,0.001,0.0792235,0.8960799999999999,21.41,0.99991345,0.9632169
1390413,DES16C2aju      ,0,0.611,-0.050016,0.32928,0.001,0.00679538,0.47092,22.83,0.9999659,0.99998415
1391191,DES16C2ajy      ,0,0.6507,-0.0813569,1.2963,0.001,0.0492241999999999,0.90582,23.24,0.9997863,0.9998633
1392329,DES16S2bcr      ,0,0.6265,-0.0156948,-0.141552,0.001,0.0589586,0.80965,23.28,0.9999573,0.99987495
1392367,DES16S1aub      ,0,0.5935,0.0673883999999999,0.0954694,0.001,0.0991185,1.18319,21.89,0.9999974,0.99999654
1392400,DES16C1aua      ,1,0.4521,-0.0664223,-0.256299,0.001,0.0322601,0.37268,22.77,0.9999999,0.9999999
1394075,DES16X1aic      ,0,0.7237,0.12355,2.74121,0.001,0.10107,1.40676,23.21,0.9997137,0.9993671
1395159,DES16X3aio      ,0,0.9569,0.0641914,2.74258,0.001,0.0920574,1.32226,23.87,0.97906053,0.9616213
1396029,DES16X2afc      ,0,0.791,-0.144223,1.06746,0.001,0.0723478999999999,0.8347600000000001,23.96,0.9998728,0.99981606
1400026,DES16C3arw      ,0,0.7096,-0.0134703,0.4529,0.001,0.0358142,0.3412,23.21,0.9999888,0.9999908
1402076,DES16X3anu      ,0,0.8961,-0.219204,-0.131955,0.001,0.0805249,0.75316,23.57,0.9999163,0.9999255
1403033,DES16E2ani      ,0,0.4743,0.0713615,-1.28219,0.001,0.0525626,0.47883,22.06,0.99998033,0.9999596
1408024,DES16E2aoh      ,1,0.4023,0.0592231,0.35574,0.001,0.0265897999999999,0.25488,20.98,1.0,1.0
1408068,DES16X3baa      ,0,0.4271,0.1338599999999999,-0.751171,0.001,0.0457778,0.55137,21.31,0.9999987,0.99999684
1409129,DES16C3bab      ,0,0.7936,-0.00724173,2.1093,0.001,0.0547604,0.50684,23.26,0.99998295,0.99996966
1411114,DES16C3asw      ,0,0.8371,0.15631,1.07045,0.001,0.0710666,0.6219100000000001,23.34,0.9997793,0.9999199
1418043,DES16C2awa      ,0,0.4158,0.0930581,-1.57333,0.001,0.0545822,0.46493,20.91,0.9999999,0.99999887
1420185,DES16C3bam      ,0,0.6445,0.10654,-0.146125,0.001,0.0459095,0.47472,23.35,0.99988246,0.99934876
1430077,DES16E1bjx      ,0,0.7682,0.23518,1.19162,0.001,0.1150099999999999,1.43107,22.83,0.9983387,0.9979966
