# Moller et al. 2024 
# SNe Ia selected with SuperNNova without host-galaxy redshifts 
# This is NOT the cosmology sample nor the SALT values used for cosmology 
# Contains HQ cuts using SNphoto z fit with SALT2 
# zHD, c, x1 are derived simultanoeusly  
SNID,IAUC,SNTYPE,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,HOSTGAL_SPECZ,HOSTGAL_SPECZ_ERR,HOSTGAL_LOGMASS,HOSTGAL_LOGMASS_ERR,HOSTGAL_MAG_r,HOSTGAL_MAGERR_r,all_class0_S_0,zHD,zHDERR,x1,x1ERR,c,cERR,FITPROB
1366690,DES16X3on       ,1,0.2712,0.001,0.2722,0.001,10.4,0.05,21.06,99.0,1.0,0.28267,0.00353,-1.55111,0.25175,0.025115,0.0190291,0.99465
1367115,DES16E1aa       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,25.63,99.0,0.990379,0.43884,0.00791,-1.8769,0.69287,0.21058,0.0406248,0.19902
1367180,DES16X3gb       ,0,0.8034,0.001,0.8048,0.001,10.18,0.03,23.79,99.0,0.99993217,0.81974,0.01621,1.18568,0.3393,-0.0600116,0.0109429,0.76849
1367253,DES16X1hd       ,0,0.6821,0.001,0.6835,0.001,9.67,0.04,23.49,99.0,0.99924207,0.92046,0.00677,1.40189,0.0279999,-0.211143,0.00930195,0.53142
1367309,DES16E2ot       ,0,0.5813,0.001,0.5825,0.001,10.79,0.02,21.56,99.0,0.98448133,0.90823,0.00071,-0.600805,0.0101422,-0.239567,0.0134861,0.85279
1367325,DES16E1oq       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,24.52,99.0,0.99998546,0.57372,0.00418,0.7524,0.37083,-0.0336627,0.0243311,0.23226
1367331,DES16E1or       ,0,0.4468,0.001,0.4479,0.001,10.2,0.02,22.04,99.0,0.9999821,0.5419,0.00504,-0.372454,0.2796,-0.130622,0.0204211,0.0271552
1367369,DES16C2mh       ,0,-9.0,-9.0,-9.99,-9999.0,-999.0,-999.0,24.95,99.0,0.99979585,0.48175,0.0087,0.078282,0.72135,0.21011,0.0432447,0.82518
1367377,DES16C3az       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,25.14,99.0,0.93170655,1.1261,0.01764,-0.0746865,0.36153,-0.140003,0.0040403,0.57571
1367408,DES16C1mn       ,0,0.5431,0.001,0.5437,0.001,10.71,0.01,21.83,99.0,0.9999964,0.49922,0.01586,0.13677,0.41955,0.0400164,0.00975979,0.48867
