# Moller et al. 2024 
# SNe Ia selected with SuperNNova without host-galaxy redshifts 
# This is NOT the cosmology sample nor the SALT values used for cosmology In DES+2024 
# Contains HQ cuts using SNphoto z fit with SALT2 
# zHD, c, x1 are derived simultanoeusly  
# all_class0_s* probabilities for different models  
# ensemble=average_probability_set_0  
SNID,IAUC,SNTYPE,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,HOSTGAL_SPECZ,HOSTGAL_SPECZ_ERR,HOSTGAL_LOGMASS,HOSTGAL_LOGMASS_ERR,HOSTGAL_MAG_r,HOSTGAL_MAGERR_r,zHD,zHDERR,x1,x1ERR,c,cERR,FITPROB,all_class0_S_0,all_class0_S_55,all_class0_S_100,all_class0_S_1000,all_class0_S_30469,average_probability_set_0
1367369,DES16C2mh       ,0,-9.0,-9.0,-9.99,-9999.0,-999.0,-999.0,24.95,99.0,0.48175,0.0087,0.078282,0.72135,0.21011,0.0432447,0.82518,0.99979585,0.9993044,0.99901235,0.9996375,0.99969316,0.99948865
1367377,DES16C3az       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,25.14,99.0,1.1261,0.01764,-0.0746865,0.36153,-0.140003,0.0040403,0.57571,0.93170655,0.86994797,0.97852033,0.98388046,0.9861114,0.95003337
1367408,DES16C1mn       ,0,0.5431,0.001,0.5437,0.001,10.71,0.01,21.83,99.0,0.49922,0.01586,0.13677,0.41955,0.0400164,0.00975979,0.48867,0.9999964,0.9999963,0.99999094,0.99998105,0.9999976,0.9999925
1367551,DES16X1gp       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,25.15,99.0,0.97741,0.0075,0.37653,0.57151,-0.136098,0.0295993,0.0287166,0.26059175,0.93197167,0.97450453,0.97350866,0.45321855,0.718759
1367556,DES16X1hu       ,1,0.4511,0.001,0.4523,0.001,9.21,0.04,23.61,99.0,0.44842,0.00454,-0.0302458,0.23816,-0.104819,0.0181609,0.3954,0.99999976,0.9999999,0.9999999,0.99999976,0.99999964,0.9999998
1367598,DES16X1xe       ,0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,99.0,99.0,0.76754,0.00994,-0.163392,0.67974,-0.0926863,0.0382169,0.38116,0.9958177,0.98539597,0.9977059,0.9931397,0.99297345,0.9930065
1368111,DES16E2bp       ,0,0.551,0.001,0.552,0.001,10.74,0.07,22.28,99.0,0.46998,0.00578,2.01504,0.43901,0.151,0.0297107,0.92991,0.99877006,0.99559575,0.9989574,0.998678,0.9957676,0.9975538
1368133,DES16X3hy       ,0,0.2762,0.001,0.2772,0.001,9.42,0.01,22.2,99.0,0.29608,0.00457,-0.386848,0.15245,0.12534,0.0184194,0.47983,1.0,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999
1368143,DES16X3hi       ,0,0.4235,0.001,0.4246,0.001,10.14,0.04,21.78,99.0,0.43693,0.00792,0.68642,0.29089,0.0414921,0.0248714,0.34424,0.99995744,0.9998419,0.99756086,0.9999763,0.9999651,0.99946034
1368188,DES16C3bq       ,1,0.2366,0.001,0.2371,0.001,10.76,0.01,19.72,99.0,0.23972,0.00167,-0.661689,0.10179,-0.00663524,0.0105751,0.92889,0.99945015,0.9950734,0.9999418,0.997773,0.999624,0.99837244
1368270,DES16S2hv       ,0,0.266,0.0,0.2669,0.0,10.1,0.02,20.94,99.0,0.41692,0.00506,1.94502,0.40745,0.10149,0.0278132,0.0528219,0.9999939,0.99998283,0.99999523,0.9999043,0.99995863,0.9999669
1368294,DES16C3bs       ,0,-9.0,-9.0,-9.99,-9999.0,-999.0,-999.0,24.35,99.0,0.63958,0.01012,-1.3661,0.5582,0.20152,0.0393409,0.81472,0.73112744,0.27567023,0.35062245,0.47289866,0.8914142,0.5443466
1368311,DES16E2bt       ,0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,99.0,99.0,0.60304,0.00751,0.66139,0.48342,0.0450036,0.0316886,0.25216,0.985628,0.996687,0.9993886,0.9996195,0.9999367,0.99625194
1368482,DES16X2uf       ,0,0.5085,0.001,0.5097,0.001,10.82,0.04,21.59,99.0,0.44749,0.01024,-0.825549,0.56142,0.0662991,0.0364958,0.9053,0.9962184,0.9998294,0.9961676,0.9979771,0.99948406,0.9979353
1368527,DES16X1pd       ,0,0.8218,0.001,0.8233,0.001,9.07,0.07,24.49,99.0,0.81592,0.06111,0.0561874,0.93977,-0.0465212,0.0662204,0.87791,0.9935195,0.99752086,0.9951507,0.99622595,0.9946109,0.99540555
1368530,DES16X1pa       ,0,0.3422,0.001,0.3434,0.001,9.89,0.01,21.97,99.0,0.34521,0.00485,-0.508349,0.2879,0.0789177,0.0219009,0.76378,0.99999976,0.9999994,0.9999999,0.9999994,0.9999987,0.9999994
1370113,DES16E1cd       ,0,0.6555,0.001,0.6567,0.001,10.82,0.02,22.08,99.0,0.65769,0.01481,-0.454667,0.53469,-0.11804,0.0330793,0.48567,0.99474394,0.9978759,0.9996346,0.9994382,0.9999547,0.9983295
1370133,DES16E1cl       ,0,0.6576,0.001,0.6588,0.001,10.43,0.02,22.54,99.0,0.86251,0.00668,0.76703,0.64016,-0.145346,0.0340567,0.98411,0.9236273,0.92939645,0.60018307,0.96651334,0.90802765,0.86554956
1370135,DES16E2ci       ,0,0.5162,0.001,0.5172,0.001,9.52,0.04,23.98,99.0,0.69077,0.01036,1.6637,0.69742,-0.110346,0.0345174,0.38735,0.9999968,0.9999733,0.9999927,0.9999858,0.99999225,0.9999882
1370181,DES16X3it       ,0,0.6931,0.001,0.6945,0.001,9.89,0.02,23.89,99.0,1.11246,0.02453,-0.169699,0.44338,-0.237058,0.027181,0.93521,0.99163365,0.97262526,0.951189,0.9760256,0.9831387,0.9749225
1370247,DES16X1jw       ,0,0.6688,0.001,0.6702,0.001,10.64,0.02,22.71,99.0,0.62348,0.01227,0.5149,0.4607,-0.0358739,0.0320017,0.7742,0.99990404,0.99994564,0.99988997,0.99991643,0.99999404,0.99993
1370253,DES16X1iz       ,0,0.1776,0.001,0.1785,0.001,9.75,0.01,20.61,99.0,0.48241,0.00437,1.63602,0.58298,0.0693007,0.0338455,0.0452677,0.999928,0.9996816,0.99994683,0.9998791,0.99995124,0.99987733
1370290,DES16C3cp       ,0,0.899,0.001,0.8998,0.001,11.1,0.05,23.65,99.0,0.90591,0.01403,1.09716,0.68,-0.0404192,0.0375738,0.86648,0.9757295,0.9313961,0.93633914,0.987656,0.946006,0.9554254
1370297,DES16C3cq       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,27.25,99.0,0.73372,0.00697,-0.0195791,0.56221,-0.0266586,0.0314175,0.43168,0.9624641,0.9805572,0.97135484,0.9513629,0.9441881,0.9619854
